Section,Link,Title,Text
Internships and International Students,https://dil.umbc.edu/resources/internships-and-international-students/,Eligibility,"To be eligible for CPT, an F-1 international student must:

complete a full academic year of full-time study physically present at a US university.
an academic year is defined as two semesters, not including summer or winter sessions.
ISSS recognizes previous semesters of full-time enrollment, even if undertaken in a different immigration status, such as H-4, or at a different school or degree level in F-1 status.  Previous enrollment cannot satisfy this requirement if the student has left the US and returned with a different SEVIS ID number.
be offered a paid position that is directly related to their UMBC degree program
Unpaid positions do not require CPT authorization, but a student may still choose to apply for CPT for an unpaid experience.
CPT can only be approved for one semester or session at a time."
Internships and International Students,https://dil.umbc.edu/resources/internships-and-international-students/,Application Process,"Requirements

Immigration regulations describe CPT as work that is “established as part of the curriculum” of study. The CPT application is designed to show that the work being done meets this requirement. Three pieces of information are required to provide this proof:

Proof of employment opportunity: A copy of your job offer letter from the position you intend to undertake on CPT.
Proof that the work is related to your academic program:  The CPT application asks the student to describe how the job is related to their academic program. The student’s academic advisor must confirm that the job is related to the degree program by completing the required electronic recommendation form.  Graduate students must also get the approval of their Graduate Program Director (GPD) through the ISSS Portal.
Proof that the work will be recorded on your academic record: To ensure that the work experience is part of the curriculum, students must enroll either in academic credit or the Internship Success Practicum (PRAC), either of which will appear on the student’s UMBC transcript.
Academic credit requires enrollment in, and payment for, regular academic credit, such as an internship credit or independent study approved by the academic advisor.
“PRAC” is the Intern Success Practicum managed by the Career Center.  PRAC does not have any academic credits associated with it; rather it is a non-credit transcript notation. As such, it has no cost, but it also cannot be used to satifsy full-time enrollment requirements. PRAC appears on the transcript with a pass/fail grade and has minimal requirements to participate.
Read more and enroll in PRAC here.  Remember to allow five business days for your PRAC enrollment to be approved by the Career Center.

ISSS cannot approve CPT for dates in the past. You will only be authorized for CPT once your complete application is submitted, approved by ISSS, and a new Form I-20 is issued.

*It is absolutely imperative that CPT is approved before you being your work experience, or before you continue an existing job whose CPT authorization is expiring!  You are not legally allowed to work in the US without active CPT authorization on your Form I-20.  While employers might not notice and might hire you or allow you to continue working after the CPT expires, these kinds of discrepancies could cause you very significant problems in later immigration applications, such as H-1b or Permanent Resident applications.  Please take responsibility for your immigration status and make sure you are aware of the end of your CPT authorization. Working without proper authorization in the US will cause you to lose your immigration status."
Internships and International Students,https://dil.umbc.edu/resources/internships-and-international-students/,Submitting your CPT Application,"Login to your ISSS Portal 
Click on “Search Forms” in the top right corner of the page
Choose the relevant request – Curricular Practical Training (CPT)
Read the directions and complete all sections of the application
Please note that CPT often requires enrollment in the Career Center’s “Internship Success Practicum (PRAC).”  Please upload the email confirmation of your enrollment to meet this requirement.
NOTE: If you are using PRAC, do NOT submit your application until your PRAC is approved and you are able to upload your PRAC approval email.
The application requires the support of your academic advisor.  Please follow the directions under the “Recommendations” section to invite your advisor to provide their support electronically.  For Graduate Students, you will need to do the process a second time to get your Graduate Program Director (GPD)’s approval as well.
Only click submit after you have uploaded all requirements.
NOTE: Once you have invited your academic advisor (all students) and GPD (graduate students only), you can submit the application without waiting for the recommendations to be completed.
ISSS advisors will review your application and contact you within 2-3 business days after your advisor (and GPD, if applicable) recommendation is received."
Internships and International Students,https://dil.umbc.edu/resources/internships-and-international-students/,Deadlines,"Deadlines for the CPT application depend on how the experience will appear on your transcript.

Academic Credit

The deadline to enroll in academic credit for CPT is the same as the regular deadline to enroll in any courses each semester.

The deadlines for each semester and session can be found here.

Internship Success Practicum (PRAC)

These deadlines vary by semester, and should be verified with the Career Center, but are typically near the following dates:

Fall semester: approximately October 1
Winter session: approximately January 2
Spring semester: approximately March 1
Summer Session I or II: approximately July 1"
Internships and International Students,https://dil.umbc.edu/resources/internships-and-international-students/,Full-Time vs. Part-Time CPT,"CPT can be approved as part-time (maximum 20 hours per week or less) or full-time (more than 20 hours per week).

Part-time CPT  is not limited, and can be used as many semesters or sessions as a student likes, as long as it is approved for each new semester or session.

Full-time CPT is limited to a maximum of 12 months total throughout your degree program.  There are no consequences for full-time CPT use up to 12 months, but after 12 months of approved full-time CPT, the student is no longer eligible for OPT post-graduation work.

Full-time CPT can only be approved in the following instances:

During a summer or winter session when course enrollment is not required
In a student’s last semester before graduation, as long as they are enrolled in 4 or fewer credits.
For graduate students enrolled only in research credits (e.g. 898 or 899) and who have completed all their other coursework."
Internships and International Students,https://dil.umbc.edu/resources/internships-and-international-students/,CPT and Taxes,"Paid work in the US is almost always taxed.  Your employer’s Human Resources (HR) staff will work with you to review your immigration and personal identifying documents to ensure that you are allowed to work in the US (including your I-20 with the CPT authorization on it), and will help you complete tax forms for the money you will earn working for them.

Typically, your employer will ask you to complete a Form I-9, which verifies your authorization to work in the US, and a W-4 form, that indicates how taxes will be withheld from your paycheck. You can read more about these documents here.

Please note: International students are usually exempt from paying certain kinds of taxes, namely Social Security and Medicare taxes.  You can reference this law to employers here.  However, if an individual has been in the US more than 5 years, they usually become a “resident for tax purposes,” and their tax rates change to include these additional tax categories."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,OPT and OPT STEM Information - Main Content,"Students who plan on working in a paid position after completing their program must receive work authorization. OPT (Optional Practical Training) is a type of work permission available for F-1 international students who finish their program requirements. OPT is approved by U.S. Citizen and Immigration Services (USCIS), with support from the university ISSS office. Students who are approved for OPT can work 1 year in unpaid/paid positions after completing their major program of study.

 

Quick Links

FAQ

Eligibility

OPT Workshop (requires myUMBC login)

OPT Checklist

SEVP Portal Help

 

Read This First

OPT follows federal and school regulations:

OPT must be related to the student’s major program of study.
Students must receive an OPT I-20 from the ISSS office before submitting their application to USCIS.
OPT is granted only once per education level.
Once approved by USCIS:
Students are approved for 1 year of work authorization.
Students cannot begin working before the start date on their Employment Authorization Document (EAD) card.
Students must work a combined total of at least 20 hours/week.
Positions can be unpaid/paid and with multiple employers.

Students should plan ahead and begin the application process with the ISSS office as early as possible.

Eligibility

To be eligible for OPT, students must meet following criteria:

Currently enrolled at UMBC full time with active F-1 status
Completed two consecutive academic semesters (fall and spring) in the US
Completed all program requirements for degree
Exceptions for graduate students who only have a thesis/dissertation remaining
Have not been previously granted OPT at the current level of study
Have not been approved for 12 months or more of full time Curricular Practical Training (CPT)

 

Application Process

Students must first receive a special OPT I-20 from the ISSS office before submitting their OPT application to USCIS. Applications submitted to USCIS without an OPT-specific I-20 will be denied. USCIS processing times can take up to three months or more, so students should plan ahead and apply early. Contact our office about any concerns or questions.

 

Application Submission Period

OPT applications must be submitted to USCIS no earlier than 90 days before your program end date and no later than 60 days after your program end date. OPT applications submitted to USCIS outside of this date range will be denied. Work with the ISSS office to prepare your application early.

 

Step 1: Request your OPT I-20

Students must first request a special OPT I-20 from the ISSS office. Applications submitted to USCIS without an OPT I-20 will be denied.

Students must submit a complete OPT request in the ISSS Portal. First, students choose an OPT start date. The OPT start date can be any date within the 60 days after the I-20 program end date. Please refer to the table and/or graphic above to choose an OPT start date.

Second, students will need to upload a draft I-765. Students should download a draft I-765 by clicking “View Draft Snapshot” in their online USCIS account. Students who upload a draft I-765 with the incorrect format will need to re-upload it in the correct format.

ISSS will review each student’s OPT request and send an email if anything is missing. Once approved, students will receive an I-20 with the OPT recommendation listed on the second page. The I-20 should list “OPT Requested” on the second page, with requested start and end dates. Please contact us if anything needs to be corrected.

To do’s:

Watch a previous OPT Workshop presentation (requires myUMBC login) and review the slides
Download a draft I-765 application
Submit a complete OPT request in the ISSS Portal

Remember: you do not need a job offer before applying!

 

Step 2: Submit I-765 OPT Application to USCIS

The ISSS office will review each OPT request and email the student about any potential edits students should change on their draft I-765. Students will also be able to view their OPT I-20 in their request. Students must print out and sign their OPT I-20 with ink. Submitting an application without a signature will likely result in a denial. Finally, students must upload all required documentation and submit their I-765 application using the USCIS online application system. The current fee for submitting an I-765 is $410. The fee is increasing to $470 and will go into effect on April 1, 2024.


 

USCIS Online Application Step-by-Step Guide
OPT Checklist

BEFORE YOU SUBMIT: Double check to see if “OPT Requested” with the requested start and end dates is on the second page of your I-20! If you submit your OPT application to USCIS without this OPT I-20, it will be automatically denied!

 

Step 3: Track Case Status

After submitting an application to USCIS, students will receive an I-797 Receipt Notice with a case number. Students can track the status of their application by entering their case number on the USCIS Case Status website. USCIS processing times vary, and it can take up to three months to receive a response on an application. Check current USCIS processing times for an I-765 application.

 

Need to update your address?
USCIS myProgress

 

Step 4: Review Response from USCIS

Students will receive a response from USCIS on their I-765 OPT application. Students will either receive a Request for Evidence (RFE) notice, approval notice, or denial notice. These different outcomes are outlined below:

 

RFE
Students who receive an RFE should contact the ISSS office as soon as possible. ISSS will assist the student in preparing additional documentation. Most students will not receive this, but please contact our office if you do.

 

Denial
Students who are denied should review the explanation written on their notice. Students can request another OPT I-20 and submit a new I-765 application if their 60 day grace period has not ended. Contact the ISSS office about any questions or concerns.

 

Approval
The approval notice will list the approved OPT start and end dates. However, students cannot begin working until their physical EAD card arrives in the mail. Students can track the delivery of their EAD card by following these instructions.

 

Step 5: Maintain F-1 Status After OPT Approval

On the approved start date, students will receive an email from do-not-reply.SEVP@ice.dhs.gov to create an SEVP Portal Account. Students must create an account and update their employer information while on OPT to maintain F-1 status. Any changes to employer information or a student’s address must be entered within 10 days. Students who cannot enter information into their SEVP Portal Account should contact the ISSS office.

 

It is your responsibility to maintain F-1 status on OPT!

Follow these regulations:


Update your address and any employer information in the SEVP Portal within 10 days of the change
Do not delete any employers – this is for record keeping
Work unpaid/paid position(s) for a combined total of at least 20 hours/week
Must be related to your major program of study
Can be multiple employers
Keep track of your unemployment days
Students have a total of 90 unemployment days while on OPT

For more help with the SEVP Portal, visit this page.

 

FAQ"
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,Need to update your address?,"If you recently moved or your mailing address has changed, update your address in your online USCIS account. It is important to list a current mailing address. Your EAD card will arrive at the mailing address listed in your USCIS online account. See further instructions here."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,USCIS myProgress,"USCIS recently expanded its myProgress program to include Forms I-765. myProgress aims to provide personalized processing time information, but it is a very, very new tool.

We have received several inquiries from students who have accessed the myProgress tool through their USCIS online account and seen confusing information, including much longer estimated processing times than normal and a section for Biometrics.

 

Please note that Biometrics are almost never required for OPT applicants, and you will receive a special communication from USCIS if Biometrics are required in your case. Again, it is extremely unlikely you will need to provide them.

 

Please consult the average processing times for OPT applications here for an accurate estimate. To get the most up-to-date processing times for OPT applicants, select the following options on that page:

 

Form: I-765 | Application for Employment Authorization
Form Category: Based on a request by a qualified F-1 academic student [(c)(3)]
Field Office or Service Center: Potomac Service Center"
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,FAQ,"Do I need a job offer before applying for OPT?
How do I select an OPT start date?
I am a graduate student who only has a thesis or dissertation left. Am I eligible?
My OPT application is still pending. When should I expect a response from USCIS?
I have not received my EAD card yet. What do I do?
I lost my EAD card.
Can I take a course while on OPT?
How many unemployment days do I have?
How do I enter my employer info into the SEVP Portal?
I am having trouble logging into my SEVP Portal account.
I entered my employer information in my SEVP Portal. Do I need to follow-up with ISSS?"
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,Do I need a job offer before applying for OPT?,"No, you do not need a job offer before applying for OPT."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,How do I select an OPT start date?,"Your OPT start date can be any date after your I-20 program end date and the 60 day grace period. Please see the table and/or graphic above to choose an OPT start date.

Make sure you account for the time it takes to process an I-765 OPT application with USCIS. Processing times may take up to three months, so it’s best not to choose the most immediate or earliest date."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,I am a graduate student who only has a thesis or dissertation left. Am I eligible?,"Yes! Graduate students who have completed all their required coursework except the thesis or dissertation can apply for OPT. If you have a graduate assistantship, let us know in your OPT request and the last day of your employment. After your I-20 program end date, you cannot work on-campus jobs, including graduate assistantships."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,My OPT application is still pending. When should I expect a response from USCIS?,"Please check current USCIS processing times here. Most likely, USCIS is experiencing delays and is still reviewing your application. Please be patient and check your case status periodically. If you expected to begin work but your OPT is still pending, please communicate the delay with your employer. Remember: students cannot begin working until their OPT is approved!"
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,I have not received my EAD card yet. What do I do?,"If your OPT has been approved, your EAD card will be sent in the mail. Please check to make sure your address is up to date in your online USCIS account.

If your address has changed, update it as soon as possible. USCIS sends the EAD card to the address listed in your USCIS account."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,I lost my EAD card.,"If you lost, misplaced, or destroyed your EAD card, please visit this page to replace it. You will need to complete another I-765 application, pay the fee again, and upload the same documents as the first time.

If your OPT has been approved and your EAD card never arrived in the mail, complete this form."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,Can I take a course while on OPT?,"Yes, you can take additional courses or extracurricular classes on OPT as a non-degree seeking student. However, you cannot begin a degree program while on OPT."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,How many unemployment days do I have?,Students have a total of 90 unemployment days during their OPT.
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,How do I enter my employer info into the SEVP Portal?,"Please visit this page on how to enter your employer information. You do not need to upload your offer letter into the SEVP Portal. However, please keep a copy of your offer letter for your records. Additionally, please review OPT Best Practices."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,I am having trouble logging into my SEVP Portal account.,"Try troubleshooting by following these steps. If you have run out of attempts, please contact us and we will reset your SEVP Portal account."
OPT and OPT STEM Information,https://isss.umbc.edu/opt-and-opt-stem-information/,I entered my employer information in my SEVP Portal. Do I need to follow-up with ISSS?,"If you entered all your employer information in your SEVP Portal account, you do not need to follow up with our office."
